,철도운영기관명,선명,역명,지번주소,도로명주소,경도,위도
0,서울교통공사,7호선,장암,경기도 의정부시 장암동 160-8,경기도 의정부시 동일로 121 (장암동),127.0531199,37.70008
1,서울교통공사,7호선,도봉산,서울특별시 도봉구 도봉동 38-3,서울특별시 도봉구 도봉로 964-40 (도봉동),127.046509,37.6890803
2,서울교통공사,7호선,수락산,서울특별시 노원구 상계동 1132-9,서울특별시 노원구 동일로 지하1662 (상계동),127.0617,37.6542324
3,서울교통공사,7호선,마들,서울특별시 노원구 상계동 650,서울특별시 노원구 동일로 지하1530-1 (상계동),127.0625657,37.6563959
4,서울교통공사,7호선,노원,서울특별시 노원구 상계동 729,서울특별시 노원구 동일로 지하1409 (상계동),127.0622277,37.6563387
5,서울교통공사,7호선,중계,서울특별시 노원구 중계동 503-3,서울특별시 노원구 동일로 지하1308-1 (중계동),127.0730439,37.65635839999999
6,서울교통공사,7호선,하계,서울특별시 노원구 하계동 273-5,서울특별시 노원구 동일로 지하1196?(하계동),127.0680165,37.63636049999999
7,서울교통공사,7호선,공릉(서울과학기술대),서울특별시 노원구 공릉동 385-4,서울특별시 노원구 동일로 지하1074 (공릉동),127.0741251,37.6258071
8,서울교통공사,7호선,태릉입구,서울특별시 노원구 공릉동 616-4,서울특별시 노원구 동일로 지하992-1 (공릉동),127.0748331,37.6221224
9,서울교통공사,7호선,먹골,서울특별시 중랑구 묵동 189-5,서울특별시 중랑구 동일로 지하901?(묵동),127.0776598,37.610248
10,서울교통공사,7호선,중화,서울특별시 중랑구 중화동 50-3,서울특별시 중랑구 동일로 지하797 (중화동),127.0780346,37.6042971
11,서울교통공사,7호선,상봉(시외버스터미널),서울특별시 중랑구 상봉동 100-9,서울특별시 중랑구 망우로 지하297 (상봉동),127.0857587,37.5966313
12,서울교통공사,7호선,면목,서울특별시 중랑구 면목동 282-6,서울특별시 중랑구 면목로 지하407?(면목동),127.0866148,37.5841989
13,서울교통공사,7호선,사가정,서울특별시 중랑구 면목동 495,서울특별시 중랑구 사가정로 지하393 (면목동),127.0880139,37.58092389999999
14,서울교통공사,7호선,용마산,서울특별시 중랑구 면목동 1316-5,서울특별시 중랑구 용마산로 지하227?(면목동),127.0861385,37.5712405
15,서울교통공사,7호선,중곡,서울특별시 광진구 중곡동 273-2 ,서울특별시 광진구 능동로 지하417 (중곡동),127.0847095,37.5677314
16,서울교통공사,7호선,군자(능동),서울특별시 광진구 능동 275-5,서울특별시 광진구 천호대로 지하550 (능동) ,127.079719,37.5569984
17,서울교통공사,7호선,어린이대공원(세종대),서울특별시 광진구 화양동 164-1,서울특별시 광진구 능동로 지하210?(화양동),127.0705034,37.5434537
18,서울교통공사,7호선,건대입구,서울특별시 광진구 화양동 6-3,서울특별시 광진구 능동로 지하110 (화양동),127.0733565,37.5462604
19,서울교통공사,7호선,뚝섬유원지,서울특별시 광진구 자양동 73-2,서울특별시 광진구 능동로 10 (자양동),127.0753875,37.5354773
20,서울교통공사,7호선,청담,서울특별시 강남구 청담동 77-76,서울특별시 강남구 학동로 지하508 (청담동),127.0505752,37.5187352
21,서울교통공사,7호선,강남구청,서울특별시 강남구 삼성동 111-44,서울특별시 강남구 학동로 지하346 (삼성동),127.0417748,37.516955
22,서울교통공사,7호선,학동,서울특별시 강남구 논현동 279-67,서울특별시 강남구 학동로 지하180?(논현동),127.0314393,37.5141799
23,서울교통공사,7호선,논현,서울특별시 강남구 논현동 279-67,서울특별시 강남구 학동로 지하102?(논현동),127.033969,37.5148554
24,서울교통공사,7호선,반포,서울특별시 서초구 잠원동 103,서울특별시 서초구 신반포로 지하241?(잠원동),127.0033885,37.5060582
25,서울교통공사,7호선,고속터미널,서울특별시 서초구 반포동 19-11,서울특별시 서초구 신반포로 지하188 (반포동),127.0033885,37.5060582
26,서울교통공사,7호선,내방,서울특별시 서초구 반포동 19-11,서울특별시 서초구 서초대로 지하103 (방배동),126.99365,37.48757630000001
27,서울교통공사,7호선,총신대입구(이수),서울특별시 동작구 사당동 144-4,서울특별시 동작구 사당로 지하310 (사당동),126.980963,37.4849508
28,서울교통공사,7호선,남성,서울특별시 동작구 사당동 산25-33,서울특별시 동작구 사당로 지하218 (사당동),126.9685653,37.4863885
29,서울교통공사,7호선,숭실대입구(살피재),서울특별시 동작구 상도동 514,서울특별시 동작구 상도로 지하378?(상도동),126.9545294,37.4946543
30,서울교통공사,7호선,상도,서울특별시 동작구 상도1동 702-1,서울특별시 동작구 상도로 지하272?(상도1동),126.947769,37.503082
31,서울교통공사,7호선,장승배기,서울특별시 동작구 상도동 26-20,서울특별시 동작구 상도로 지하188?(상도동),126.9425638,37.5054825
32,서울교통공사,7호선,신대방삼거리,서울특별시 동작구 대방동 406-10,서울특별시 동작구 상도로 지하76 (대방동) ?,126.9280893,37.4996863
33,서울교통공사,7호선,보라매,서울특별시 동작구 대방동 466-51,서울특별시 동작구 상도로 지하2?(대방동),126.9246398,37.5071867
